mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_leaf_nodes,param_estimator__max_iter,param_estimator__max_depth,param_estimator__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7333049297332763,0.21447476434446594,0.04327549934387207,0.0054066300998657085,31,400,5,0.1,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 400, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.1}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-165.8771668449197,-148.59962169403116,11.379674309009298,1,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-30.5013648167156,-69.56179483908635,23.45117158350296
0.42980475425720216,0.0907623772246697,0.02409834861755371,0.0021234579841306342,,200,5,0.01,"{'estimator__max_leaf_nodes': None, 'estimator__max_iter': 200, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.01}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-174.49119167719624,-150.32242666048646,14.173951332536443,17,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-50.950309560962246,-73.65158378793568,17.244277692551464
0.968400526046753,0.1324601098851696,0.04859580993652344,0.0011265171100978456,63,400,10,0.05,"{'estimator__max_leaf_nodes': 63, 'estimator__max_iter': 400, 'estimator__max_depth': 10, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.06677602047998,-148.63754352914322,11.437356865908546,4,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-35.911891475246115,-70.64390017079246,21.681933891206352
0.2636875152587891,0.026110581679333566,0.013907241821289062,0.0008602706299668263,31,100,3,0.1,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 100, 'estimator__max_depth': 3, 'estimator__learning_rate': 0.1}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.9455675917298,-148.81330184339316,11.707406248223961,8,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.026299326005734,-71.46678174094438,20.3875975503928
0.9526322364807129,0.12583597209289835,0.05025992393493652,0.0014339737446495873,15,400,3,0.05,"{'estimator__max_leaf_nodes': 15, 'estimator__max_iter': 400, 'estimator__max_depth': 3, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.06677602047998,-148.63754352914322,11.437356865908546,4,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-35.911891475246115,-70.64390017079246,21.681933891206352
0.30709023475646974,0.04323874699340719,0.014330291748046875,0.000704366567282428,15,100,5,0.01,"{'estimator__max_leaf_nodes': 15, 'estimator__max_iter': 100, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.01}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-185.97529671102475,-152.61924766725218,18.248975251271467,19,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-61.5393883165503,-75.7693995390533,14.80376489626562
0.2770077705383301,0.04560417520382114,0.015024614334106446,0.00366273351096734,15,100,,0.1,"{'estimator__max_leaf_nodes': 15, 'estimator__max_iter': 100, 'estimator__max_depth': None, 'estimator__learning_rate': 0.1}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.9455675917298,-148.81330184339316,11.707406248223961,8,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.026299326005734,-71.46678174094438,20.3875975503928
0.47958970069885254,0.0581088856697116,0.025411605834960938,0.0008592405009918747,31,200,5,0.05,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 200, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-167.16440330978313,-148.85706898700386,11.775322427448904,11,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.055446651283646,-71.47261120599997,20.378609064906684
0.48747687339782714,0.054062529734983426,0.028278923034667967,0.0049599170425805835,63,200,5,0.05,"{'estimator__max_leaf_nodes': 63, 'estimator__max_iter': 200, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-167.16440330978313,-148.85706898700386,11.775322427448904,11,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.055446651283646,-71.47261120599997,20.378609064906684
0.5024340629577637,0.07019726974544847,0.029165124893188475,0.006256647917856063,63,200,5,0.01,"{'estimator__max_leaf_nodes': 63, 'estimator__max_iter': 200, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.01}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-174.49119167719624,-150.32242666048646,14.173951332536443,17,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-50.950309560962246,-73.65158378793568,17.244277692551464
0.28527112007141114,0.04506383798777083,0.013747739791870116,0.0014143090784713905,,100,3,0.05,"{'estimator__max_leaf_nodes': None, 'estimator__max_iter': 100, 'estimator__max_depth': 3, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-169.1506806085782,-149.25432444676287,12.40301749165621,15,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-43.70769532309853,-72.20306094036293,19.27497381765173
0.5178436756134033,0.06703623536464225,0.027814865112304688,0.0037057588192450134,63,200,10,0.05,"{'estimator__max_leaf_nodes': 63, 'estimator__max_iter': 200, 'estimator__max_depth': 10, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-167.16440330978313,-148.85706898700386,11.775322427448904,11,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.055446651283646,-71.47261120599997,20.378609064906684
0.9069756984710693,0.057894904270730844,0.02983708381652832,0.005126973408722064,63,400,,0.05,"{'estimator__max_leaf_nodes': 63, 'estimator__max_iter': 400, 'estimator__max_depth': None, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.06677602047998,-148.63754352914322,11.437356865908546,4,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-35.911891475246115,-70.64390017079246,21.681933891206352
0.29193315505981443,0.03379032897375933,0.019709682464599608,0.010176550379136168,31,100,,0.1,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 100, 'estimator__max_depth': None, 'estimator__learning_rate': 0.1}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.9455675917298,-148.81330184339316,11.707406248223961,8,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.026299326005734,-71.46678174094438,20.3875975503928
0.509428071975708,0.051853896937585194,0.02409825325012207,0.0009297826411277893,15,200,3,0.1,"{'estimator__max_leaf_nodes': 15, 'estimator__max_iter': 200, 'estimator__max_depth': 3, 'estimator__learning_rate': 0.1}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.04016256016288,-148.6322208370798,11.429247767348574,2,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-35.7791348697795,-70.61734884969914,21.72448937451541
0.4980477809906006,0.03833472346363139,0.022919940948486327,0.001998870446470122,15,200,5,0.05,"{'estimator__max_leaf_nodes': 15, 'estimator__max_iter': 200, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-167.16440330978313,-148.85706898700386,11.775322427448904,11,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-40.055446651283646,-71.47261120599997,20.378609064906684
0.28795809745788575,0.03210012979409951,0.013508462905883789,0.0011403265948658127,,100,10,0.01,"{'estimator__max_leaf_nodes': None, 'estimator__max_iter': 100, 'estimator__max_depth': 10, 'estimator__learning_rate': 0.01}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-185.97529671102475,-152.61924766725218,18.248975251271467,19,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-61.5393883165503,-75.7693995390533,14.80376489626562
0.6577406883239746,0.05136771697101962,0.022061681747436522,0.0006422610579282271,31,400,5,0.05,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 400, 'estimator__max_depth': 5, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.06677602047998,-148.63754352914322,11.437356865908546,4,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-35.911891475246115,-70.64390017079246,21.681933891206352
0.40304765701293943,0.029016932423802624,0.01201767921447754,0.0006115647158054416,31,200,10,0.1,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 200, 'estimator__max_depth': 10, 'estimator__learning_rate': 0.1}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-166.04016256016288,-148.6322208370798,11.429247767348574,2,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-35.7791348697795,-70.61734884969914,21.72448937451541
0.22132587432861328,0.02140620063408109,0.009165239334106446,0.0024449787153812247,31,100,10,0.05,"{'estimator__max_leaf_nodes': 31, 'estimator__max_iter': 100, 'estimator__max_depth': 10, 'estimator__learning_rate': 0.05}",-143.32584452947845,-131.1178829961809,-150.81737034000093,-151.85984375957588,-169.1506806085782,-149.25432444676287,12.40301749165621,15,-56.15661011904763,-78.98011419526257,-87.26893151074205,-94.90195355366396,-43.70769532309853,-72.20306094036293,19.27497381765173
